state,homeownership,annual_income,debt_to_income,total_credit_limit,total_credit_utilized,loan_purpose,loan_amount,term,interest_rate,installment,grade,issue_month,loan_status,risk_category_loan_status,balance,paid_total,paid_principal,paid_interest,default_flag,income_band,dti_bucket,dti_risk_bucket,utilization_alert,utilization_bucket
CA,Mortgage,"106,000.00",26.25,405236,105548,Debt_Consolidation,12000,36,12.62%,402.14,C,2/1/2018,Current,Healthy,10878.71,1600.15,1121.29,478.86,0,High (>100k),Manageable (15-30%),Medium,Safe,High
TX,Mortgage,"245,000.00",24.9,772243,497876,Debt_Consolidation,40000,60,9.44%,838.91,B,2/1/2018,Current,Healthy,37878.15,3334.66,2121.85,1212.81,0,High (>100k),Manageable (15-30%),Medium,Safe,High
AR,Mortgage,"50,000.00",36.75,246210,51523,Credit_Card,19000,60,19.03%,493.19,D,2/1/2018,Current,Healthy,18214.02,1922.54,785.98,1136.56,0,Medium (50k-100k),Risky (>30%),High,Safe,High
SC,Mortgage,"80,000.00",28.3,250359,113927,Debt_Consolidation,28000,60,20.39%,747.92,D,3/1/2018,Current,Healthy,27169.59,2180.32,830.41,1349.91,0,Medium (50k-100k),Manageable (15-30%),Medium,Safe,High
CA,Mortgage,"140,000.00",13.82,631258,69647,Debt_Consolidation,15000,60,9.93%,318.19,B,1/1/2018,Fully Paid,Healthy,0.00,15005.17,15000.00,5.17,0,High (>100k),Healthy (<15%),Low,Safe,High
MD,Own,"70,000.00",0,30400,92,Small_Business,2400,36,6.08%,73.1,A,1/1/2018,Fully Paid,Healthy,0.00,2409.05,2400.00,9.05,0,Medium (50k-100k),Healthy (<15%),Low,Safe,High
MD,Rent,"45,000.00",10.59,14500,13304,Debt_Consolidation,10000,36,21.45%,379.07,D,1/1/2018,Current,Healthy,8961.95,1871.52,1038.05,833.47,0,Low (<50k),Healthy (<15%),Low,Maxed Out,High
NJ,Mortgage,"70,000.00",17.06,363649,29954,Car,24000,60,15.04%,571.47,C,3/1/2018,In Grace Period,Delinquent,23455.27,1102.83,544.73,558.10,0,Medium (50k-100k),Manageable (15-30%),Low,Safe,High
PA,Rent,"75,000.00",18.53,55075,34186,Other,9500,36,10.42%,308.42,B,1/1/2018,Current,Healthy,8350.57,1531.10,1149.43,381.67,0,Medium (50k-100k),Manageable (15-30%),Low,Safe,High
CA,Rent,"53,592.00",7.1,42499,10466,Other,30000,36,12.61%,1005.2,C,2/1/2018,Current,Healthy,27196.39,3978.77,2803.61,1175.16,0,Medium (50k-100k),Healthy (<15%),Low,Safe,High
MI,Mortgage,"19,000.00",24.79,23234,12435,Other,10000,60,18.06%,254.27,D,1/1/2018,Current,Healthy,9465.30,1261.32,534.70,726.62,0,Low (<50k),Manageable (15-30%),Medium,Safe,High
MD,Rent,"90,000.00",15.72,77285,51012,Moving,15000,60,11.99%,333.6,B,2/1/2018,Current,Healthy,14254.01,1314.42,745.99,568.43,0,Medium (50k-100k),Manageable (15-30%),Low,Safe,High
VA,Rent,"77,000.00",14.82,74852,44015,Debt_Consolidation,35000,60,15.05%,833.57,C,1/1/2018,Current,Healthy,33391.61,3275.75,1608.39,1667.36,0,Medium (50k-100k),Healthy (<15%),Low,Safe,High
TX,Rent,"42,000.00",25.89,43239,31094,Credit_Card,10000,36,15.05%,346.9,C,2/1/2018,Current,Healthy,9097.26,1379.24,902.74,476.50,0,Low (<50k),Manageable (15-30%),Medium,Safe,High
TX,Mortgage,"130,000.00",13.51,403408,49857,Home_Improvement,40000,60,12.62%,902.37,C,2/1/2018,Current,Healthy,38042.58,3581.44,1957.42,1624.02,0,High (>100k),Healthy (<15%),Low,Safe,High
NC,Own,"76,300.00",10.71,185068,26515,Debt_Consolidation,15000,36,6.72%,461.24,A,1/1/2018,Current,Healthy,13092.56,2295.00,1907.44,387.56,0,Medium (50k-100k),Healthy (<15%),Low,Safe,High
FL,Mortgage,"190,000.00",2.68,175300,18870,Debt_Consolidation,20000,36,6.71%,614.9,A,3/1/2018,Current,Healthy,18991.05,1214.89,1008.95,205.94,0,High (>100k),Healthy (<15%),Low,Safe,High
TX,Rent,"41,000.00",25.7,29311,13527,Debt_Consolidation,4500,36,15.05%,156.11,C,2/1/2018,Current,Healthy,4093.75,620.68,406.25,214.43,0,Low (<50k),Manageable (15-30%),Medium,Safe,High
NE,Rent,"30,000.00",3.64,18000,5542,Car,16000,60,9.93%,339.41,B,1/1/2018,Current,Healthy,14947.68,1688.22,1052.32,635.90,0,Low (<50k),Healthy (<15%),Low,Safe,High
NC,Mortgage,"88,000.00",17.24,404236,199983,Credit_Card,10000,36,10.42%,324.65,B,1/1/2018,Current,Healthy,9036.27,1292.81,963.73,329.08,0,Medium (50k-100k),Manageable (15-30%),Low,Safe,High
TX,Mortgage,"115,000.00",18.72,394519,69124,Debt_Consolidation,20000,60,22.91%,562.78,E,2/1/2018,Current,Healthy,19255.22,2225.66,744.78,1480.88,0,High (>100k),Manageable (15-30%),Low,Safe,High
TX,Rent,"95,731.00",19.64,86768,53109,Debt_Consolidation,20600,60,30.79%,676.52,G,1/1/2018,Current,Healthy,19821.53,3345.79,778.47,2567.32,0,Medium (50k-100k),Manageable (15-30%),Low,Safe,High
CA,Rent,"127,000.00",9.12,74518,34313,Major_Purchase,35000,60,15.05%,833.57,C,2/1/2018,Current,Healthy,33396.01,3305.02,1603.99,1701.03,0,High (>100k),Healthy (<15%),Low,Safe,High
GA,Mortgage,"75,000.00",22.91,224758,63799,Debt_Consolidation,10000,36,6.07%,304.54,A,3/1/2018,Current,Healthy,9234.27,910.25,765.73,144.52,0,Medium (50k-100k),Manageable (15-30%),Medium,Safe,High
NC,Mortgage,"70,000.00",21.41,279995,52244,Debt_Consolidation,12000,36,6.07%,365.45,A,3/1/2018,Current,Healthy,11081.12,1092.30,918.88,173.42,0,Medium (50k-100k),Manageable (15-30%),Medium,Safe,High
FL,Own,"22,000.00",13.05,130600,4277,Debt_Consolidation,1925,36,17.47%,69.09,D,3/1/2018,Current,Healthy,1842.26,139.02,82.74,56.28,0,Low (<50k),Healthy (<15%),Low,Safe,High
NJ,Mortgage,"75,000.00",20.16,365595,30262,House,15000,36,7.34%,465.5,A,3/1/2018,Current,Healthy,13871.88,1390.38,1128.12,262.26,0,Medium (50k-100k),Manageable (15-30%),Medium,Safe,High
NV,Mortgage,"73,000.00",39.08,146435,51162,Debt_Consolidation,20000,36,13.59%,679.58,C,2/1/2018,Current,Healthy,18156.66,2703.22,1843.34,859.88,0,Medium (50k-100k),Risky (>30%),High,Safe,High
NV,Mortgage,"76,000.00",14.62,368543,24135,Debt_Consolidation,6000,36,6.72%,184.5,A,1/1/2018,Current,Healthy,5391.31,736.88,608.69,128.19,0,Medium (50k-100k),Healthy (<15%),Low,Safe,High
CO,Rent,"188,000.00",11.64,80444,45181,Debt_Consolidation,10000,36,5.31%,301.11,A,2/1/2018,Current,Healthy,8965.72,1201.49,1034.28,167.21,0,High (>100k),Healthy (<15%),Low,Safe,High
WV,Mortgage,"50,000.00",12.15,97664,21687,Debt_Consolidation,25000,36,9.93%,805.86,B,1/1/2018,Current,Healthy,21955.10,4015.51,3044.90,970.61,0,Medium (50k-100k),Healthy (<15%),Low,Safe,High
MD,Own,"58,000.00",12.58,37300,14770,Debt_Consolidation,10000,36,9.92%,322.3,B,3/1/2018,Current,Healthy,9275.14,961.39,724.86,236.53,0,Medium (50k-100k),Healthy (<15%),Low,Safe,High
VA,Rent,"105,000.00",16.73,63600,53168,Debt_Consolidation,6000,36,9.93%,193.41,B,2/1/2018,Current,Healthy,5417.78,768.68,582.22,186.46,0,High (>100k),Manageable (15-30%),Low,Maxed Out,High
VA,Mortgage,"114,000.00",28.13,451597,88594,Credit_Card,20000,60,14.07%,466.1,C,3/1/2018,Current,Healthy,19297.02,1367.03,702.98,664.05,0,High (>100k),Manageable (15-30%),Medium,Safe,High
CA,Mortgage,"150,000.00",7.89,96633,43253,Medical,15000,36,7.97%,469.84,A,2/1/2018,Current,Healthy,13504.32,1866.08,1495.68,370.40,0,High (>100k),Healthy (<15%),Low,Safe,High
PA,Mortgage,"69,000.00",15.42,291176,33890,Debt_Consolidation,20000,36,5.31%,602.21,A,3/1/2018,Current,Healthy,18452.04,1800.73,1547.96,252.77,0,Medium (50k-100k),Manageable (15-30%),Low,Safe,High
FL,Mortgage,"30,000.00",32.4,69244,23425,Debt_Consolidation,10500,60,9.93%,222.74,B,2/1/2018,Current,Healthy,9949.81,885.17,550.19,334.98,0,Low (<50k),Risky (>30%),Medium,Safe,High
IL,Mortgage,"60,000.00",17.28,47882,36724,Credit_Card,11400,60,14.08%,265.74,C,1/1/2018,Current,Healthy,10862.71,1098.63,537.29,561.34,0,Medium (50k-100k),Manageable (15-30%),Low,Safe,High
NH,Mortgage,"74,000.00",32.06,384554,63783,Car,5500,36,12.61%,184.29,C,3/1/2018,Current,Healthy,5116.52,549.02,383.48,165.54,0,Medium (50k-100k),Risky (>30%),Medium,Safe,High
UT,Rent,"25,000.00",3.7,1900,807,Debt_Consolidation,5000,36,12.62%,167.56,C,1/1/2018,Current,Healthy,4412.90,829.04,587.10,241.94,0,Low (<50k),Healthy (<15%),Low,Safe,High
DE,Own,"32,000.00",22.09,30649,24714,Other,9600,36,17.47%,344.52,D,3/1/2018,Current,Healthy,8976.73,1014.93,623.27,391.66,0,Low (<50k),Manageable (15-30%),Medium,Maxed Out,High
MA,Rent,"31,000.00",16.26,43430,14955,Other,15000,36,12.62%,502.67,C,1/1/2018,Current,Healthy,13238.74,2502.83,1761.26,741.57,0,Low (<50k),Manageable (15-30%),Low,Safe,High
NJ,Rent,"64,000.00",8.72,49500,19719,Debt_Consolidation,10000,36,6.71%,307.45,A,3/1/2018,Current,Healthy,9241.17,914.89,758.83,156.06,0,Medium (50k-100k),Healthy (<15%),Low,Safe,High
KY,Rent,"24,000.00",16.3,54966,42068,Major_Purchase,10450,60,19.42%,273.5,D,3/1/2018,Current,Healthy,9609.03,1297.95,840.97,456.98,0,Low (<50k),Manageable (15-30%),Low,Safe,High
NC,Mortgage,"77,000.00",16.04,188426,59514,Credit_Card,7200,36,12.62%,241.29,C,2/1/2018,Current,Healthy,6527.20,960.11,672.80,287.31,0,Medium (50k-100k),Manageable (15-30%),Low,Safe,High
FL,Mortgage,"31,000.00",28.42,190216,24861,Debt_Consolidation,35000,60,14.08%,815.85,C,1/1/2018,Current,Healthy,32925.97,4119.53,2074.03,2045.50,0,Low (<50k),Manageable (15-30%),Medium,Safe,High
OR,Rent,"13,930.00",21.94,13450,4212,Debt_Consolidation,4200,36,10.91%,137.33,B,1/1/2018,Current,Healthy,3695.17,672.66,504.83,167.83,0,Low (<50k),Manageable (15-30%),Medium,Safe,High
OH,Rent,"60,000.00",19.22,69357,68594,Other,2400,36,17.47%,86.13,D,2/1/2018,Current,Healthy,2244.18,256.06,155.82,100.24,0,Medium (50k-100k),Manageable (15-30%),Low,Maxed Out,High
TX,Mortgage,"41,787.00",37.74,42639,36441,Credit_Card,12800,36,18.06%,463.14,D,1/1/2018,Current,Healthy,11693.32,1871.83,1106.68,765.15,0,Low (<50k),Risky (>30%),High,Maxed Out,High
CA,Mortgage,"45,000.00",15.44,215675,13559,Other,8000,36,16.02%,281.34,C,1/1/2018,Current,Healthy,7103.69,1392.46,896.31,496.15,0,Low (<50k),Manageable (15-30%),Low,Safe,High
OK,Mortgage,"77,000.00",18.39,174300,31663,Debt_Consolidation,30000,36,19.03%,1100.14,D,2/1/2018,Current,Healthy,27442.40,4368.84,2557.60,1811.24,0,Medium (50k-100k),Manageable (15-30%),Low,Safe,High
PA,Mortgage,"72,000.00",27.23,158659,65964,Debt_Consolidation,7000,36,12.62%,234.58,C,1/1/2018,Current,Healthy,6178.08,1163.08,821.92,341.16,0,Medium (50k-100k),Manageable (15-30%),Medium,Safe,High
TX,Mortgage,"165,000.00",11.14,103527,70510,Other,25000,36,6.07%,761.35,A,2/1/2018,Current,Healthy,22441.10,3036.97,2558.90,478.07,0,High (>100k),Healthy (<15%),Low,Safe,High
FL,Mortgage,"43,000.00",1.56,45100,860,Home_Improvement,40000,60,9.43%,838.71,B,3/1/2018,Current,Healthy,37877.63,3220.14,2122.37,1097.77,0,Low (<50k),Healthy (<15%),Low,Safe,High
VA,Mortgage,"90,000.00",17.44,524622,87687,Debt_Consolidation,24000,60,10.42%,514.91,B,1/1/2018,Current,Healthy,22440.60,2505.09,1559.40,945.69,0,Medium (50k-100k),Manageable (15-30%),Low,Safe,High
SD,Own,"95,000.00",11.45,73740,14461,Debt_Consolidation,5000,36,7.96%,156.59,A,3/1/2018,Current,Healthy,4627.27,465.35,372.73,92.62,0,Medium (50k-100k),Healthy (<15%),Low,Safe,High
MO,Mortgage,"152,000.00",21.09,476029,121076,Small_Business,40000,60,13.59%,922.25,C,1/1/2018,Current,Healthy,37600.00,4550.85,2400.00,2150.85,0,High (>100k),Manageable (15-30%),Medium,Safe,High
IL,Mortgage,"49,500.00",34.86,241110,159851,Credit_Card,15000,60,15.04%,357.17,C,3/1/2018,Current,Healthy,14486.10,996.32,513.90,482.42,0,Low (<50k),Risky (>30%),Medium,Safe,High
TX,Own,"32,000.00",13.77,37596,18294,Home_Improvement,5000,36,12.61%,167.54,C,3/1/2018,Current,Healthy,4651.37,499.12,348.63,150.49,0,Low (<50k),Healthy (<15%),Low,Safe,High
FL,Rent,"78,000.00",9.61,48354,40982,Credit_Card,7000,36,7.96%,219.23,A,3/1/2018,Current,Healthy,6478.16,654.59,521.84,132.75,0,Medium (50k-100k),Healthy (<15%),Low,Maxed Out,High
AZ,Rent,"52,000.00",24.39,86360,47451,Debt_Consolidation,17450,60,13.58%,402.25,C,3/1/2018,Current,Healthy,16828.69,1219.92,621.31,598.61,0,Medium (50k-100k),Manageable (15-30%),Medium,Safe,High
NY,Mortgage,"147,000.00",5.16,386381,23551,Debt_Consolidation,30000,60,16.01%,729.71,C,3/1/2018,Current,Healthy,29336.68,1432.74,663.32,769.42,0,High (>100k),Healthy (<15%),Low,Safe,High
NJ,Own,"140,000.00",28.53,454500,177350,Debt_Consolidation,15000,36,22.91%,579.95,E,2/1/2018,Current,Healthy,13791.64,2281.62,1208.36,1073.26,0,High (>100k),Manageable (15-30%),Medium,Safe,High
IL,Rent,"50,000.00",20.74,128476,16061,Debt_Consolidation,20000,36,7.97%,626.46,A,1/1/2018,Current,Healthy,17499.09,3110.16,2500.91,609.25,0,Medium (50k-100k),Manageable (15-30%),Medium,Safe,High
MN,Rent,"55,000.00",12.22,26500,10994,Debt_Consolidation,15000,60,18.06%,381.4,D,1/1/2018,Current,Healthy,14197.97,1891.95,802.03,1089.92,0,Medium (50k-100k),Healthy (<15%),Low,Safe,High
TX,Mortgage,"190,000.00",15.84,619105,84019,Debt_Consolidation,12000,36,6.08%,365.5,A,1/1/2018,Current,Healthy,10771.90,1474.16,1228.10,246.06,0,High (>100k),Manageable (15-30%),Low,Safe,High
CO,Rent,"126,000.00",3.82,49529,7020,Debt_Consolidation,16500,36,5.32%,496.9,A,2/1/2018,Current,Healthy,14793.69,1982.72,1706.31,276.41,0,High (>100k),Healthy (<15%),Low,Safe,High
MA,Mortgage,"95,000.00",15.48,277964,47779,Debt_Consolidation,19200,36,5.32%,578.21,A,2/1/2018,Current,Healthy,17214.48,2307.17,1985.52,321.65,0,Medium (50k-100k),Manageable (15-30%),Low,Safe,High
NJ,Mortgage,"80,000.00",14.16,285387,22788,Major_Purchase,7050,36,9.93%,227.26,B,1/1/2018,Current,Healthy,6191.30,1132.41,858.70,273.71,0,Medium (50k-100k),Healthy (<15%),Low,Safe,High
MN,Mortgage,"23,000.00",49.58,44927,29553,Credit_Card,15000,60,20.00%,397.41,D,2/1/2018,Current,Healthy,14395.45,1572.97,604.55,968.42,0,Low (<50k),Risky (>30%),High,Safe,High
NY,Own,"66,000.00",13.27,65475,60327,Debt_Consolidation,11200,36,15.05%,388.53,C,2/1/2018,Current,Healthy,10188.92,1535.39,1011.08,524.31,0,Medium (50k-100k),Healthy (<15%),Low,Maxed Out,High
IL,Rent,"60,000.00",16.72,242220,30552,Debt_Consolidation,8000,36,7.96%,250.55,A,3/1/2018,Current,Healthy,7403.61,744.57,596.39,148.18,0,Medium (50k-100k),Manageable (15-30%),Low,Safe,High
TX,Mortgage,"101,000.00",18.5,343573,39168,Debt_Consolidation,20000,60,26.77%,607.97,E,3/1/2018,Current,Healthy,19503.68,1764.42,496.32,1268.10,0,High (>100k),Manageable (15-30%),Low,Safe,High
TN,Mortgage,"113,000.00",15.28,795794,78028,Home_Improvement,10800,60,9.44%,226.51,B,1/1/2018,Current,Healthy,10081.03,1126.89,718.97,407.92,0,High (>100k),Manageable (15-30%),Low,Safe,High
NH,Mortgage,"61,000.00",19.05,141543,42210,Debt_Consolidation,7200,36,13.59%,244.65,C,2/1/2018,Current,Healthy,6536.39,1003.07,663.61,339.46,0,Medium (50k-100k),Manageable (15-30%),Low,Safe,High
SC,Rent,"28,000.00",26.96,28300,13329,Debt_Consolidation,12000,36,15.04%,416.22,C,3/1/2018,Current,Healthy,11192.50,1228.61,807.50,421.11,0,Low (<50k),Manageable (15-30%),Medium,Safe,High
NY,Mortgage,"75,000.00",21.63,213035,79897,Credit_Card,20000,36,5.31%,602.21,A,3/1/2018,Current,Healthy,18452.04,1800.73,1547.96,252.77,0,Medium (50k-100k),Manageable (15-30%),Medium,Safe,High
FL,Mortgage,"44,000.00",24.77,56476,40706,Home_Improvement,7200,36,14.08%,246.36,C,2/1/2018,Fully Paid,Healthy,0.00,7518.18,7200.00,318.18,0,Low (<50k),Manageable (15-30%),Medium,Safe,High
TX,Rent,"60,000.00",18.36,36564,20307,Small_Business,6000,36,13.59%,203.88,C,1/1/2018,Current,Healthy,5304.78,1014.87,695.22,319.65,0,Medium (50k-100k),Manageable (15-30%),Low,Safe,High
TX,Rent,"47,000.00",18.92,24823,11443,Debt_Consolidation,5000,36,7.97%,156.62,A,2/1/2018,Current,Healthy,4501.41,622.05,498.59,123.46,0,Low (<50k),Manageable (15-30%),Low,Safe,High
FL,Rent,"58,000.00",14.66,101890,43411,Debt_Consolidation,16000,60,9.93%,339.41,B,1/1/2018,Current,Healthy,14947.68,1688.22,1052.32,635.90,0,Medium (50k-100k),Healthy (<15%),Low,Safe,High
AL,Mortgage,"55,000.00",29.58,245213,27408,Debt_Consolidation,15600,36,6.08%,475.15,A,1/1/2018,Current,Healthy,13599.28,2370.48,2000.72,369.76,0,Medium (50k-100k),Manageable (15-30%),Medium,Safe,High
WY,Rent,"31,812.00",37.83,58700,38487,Debt_Consolidation,10000,60,21.85%,275.34,D,2/1/2018,Current,Healthy,9715.10,838.16,284.90,553.26,0,Low (<50k),Risky (>30%),High,Safe,High
CA,Rent,"95,000.00",13.49,66559,47029,Moving,10000,36,10.42%,324.65,B,2/1/2018,Current,Healthy,9036.27,1287.02,963.73,323.29,0,Medium (50k-100k),Healthy (<15%),Low,Safe,High
PA,Mortgage,"65,000.00",29.36,86480,66933,Debt_Consolidation,30000,36,17.47%,1076.62,D,3/1/2018,Current,Healthy,28052.31,3200.74,1947.69,1253.05,0,Medium (50k-100k),Manageable (15-30%),Medium,Safe,High
CA,Rent,"250,000.00",1.12,27800,5459,Debt_Consolidation,30000,36,10.90%,980.75,B,3/1/2018,Current,Healthy,28577.07,1925.17,1422.93,502.24,0,High (>100k),Healthy (<15%),Low,Safe,High
CO,Mortgage,"55,200.00",18.67,206967,57403,Credit_Card,16000,36,6.08%,487.34,A,1/1/2018,Current,Healthy,13947.94,2425.89,2052.06,373.83,0,Medium (50k-100k),Manageable (15-30%),Low,Safe,High
NY,Rent,"42,000.00",25.23,55732,29882,Credit_Card,20000,36,12.61%,670.13,C,3/1/2018,Current,Healthy,18605.56,1982.37,1394.44,587.93,0,Low (<50k),Manageable (15-30%),Medium,Safe,High
MO,Mortgage,"30,784.00",27.56,130301,9913,Debt_Consolidation,6275,36,23.87%,245.76,E,2/1/2018,Current,Healthy,5776.61,966.40,498.39,468.01,0,Low (<50k),Manageable (15-30%),Medium,Safe,High
FL,Own,"60,000.00",26.88,350266,76834,Credit_Card,15000,36,18.06%,542.74,D,2/1/2018,Current,Healthy,13703.13,2246.21,1296.87,949.34,0,Medium (50k-100k),Manageable (15-30%),Medium,Safe,High
MO,Mortgage,"120,000.00",21.45,179741,165182,Debt_Consolidation,16000,60,13.59%,368.9,C,1/1/2018,Current,Healthy,15040.00,1832.42,960.00,872.42,0,High (>100k),Manageable (15-30%),Medium,Maxed Out,High
CA,Mortgage,"63,000.00",15.3,33048,20366,Debt_Consolidation,10000,36,16.02%,351.67,C,2/1/2018,In Grace Period,Delinquent,9336.71,1032.76,663.29,369.47,0,Medium (50k-100k),Manageable (15-30%),Low,Safe,High
